,Dates,Xt,Rt
256,2020-11-15,0.23840869513708168,684163.545532074
257,2020-11-16,0.19121999565921843,684163.5928827636
258,2020-11-17,0.1529797142460144,684163.6310738644
259,2020-11-18,0.12207118955441705,684163.6617975563
260,2020-11-19,0.09715401564787177,684163.686449382
261,2020-11-20,0.07711979917613708,684163.7061771804
262,2020-11-21,0.061054494568548105,684163.7219224978
263,2020-11-22,0.04820643180136234,684163.7344555347
264,2020-11-23,0.037959181501389085,684163.7444045946
265,2020-11-24,0.02980862065996729,684163.7522808097
266,2020-11-25,0.023343641627501882,684163.7584988207
267,2020-11-26,0.018229949193724854,684163.7633940387
268,2020-11-27,0.014196481211116576,684163.7672370133
269,2020-11-28,0.011024081368378997,684163.7702453488
270,2020-11-29,0.008536080059223064,684163.7725935542
