date,location,new_cases,new_deaths,total_cases,total_deaths,govt_pol_index,tests_per_thous,Susceptible,Infected,Recovered,I_x,Stages
06/10/20,India,,,,,,,41600.9703752077,158133.575248857,100268.454375935,2736.44769268911,4
06/11/20,India,,,,,,,38864.5226825186,157406.725719665,103731.751597817,2542.62327964416,4
06/12/20,India,,,,,,,36321.8994028744,156504.673084758,107176.427512367,2363.10169591602,4
06/13/20,India,,,,,,,33958.7977069584,155444.591168774,110599.611124268,2196.87262963571,4
06/14/20,India,,,,,,,31761.9250773227,154242.510017425,113998.564905252,2042.92576893429,4
06/15/20,India,,,,,,,29718.9993083884,152913.315897501,117370.684794111,1900.25080194283,3
06/16/20,India,,,,,,,27818.7485064456,151470.751296868,120713.500196686,1767.83741679235,4
06/17/20,India,,,,,,,26050.9110896532,149927.41492447,124024.673985877,1644.67530161391,3
06/18/20,India,,,,,,,24406.2357880393,148294.761710326,127302.002501635,1529.75414453857,4
06/19/20,India,,,,,,,22876.4816435007,146583.102805535,130543.415550965,1422.06363369737,3
06/20/20,India,,,,,,,21454.4180098034,144801.605582269,133746.976407928,1320.59345722136,3
06/21/20,India,,,,,,,20133.824552582,142958.293633779,136910.881813639,1224.33330324158,3
06/22/20,India,,,,,,,18909.4912493404,141060.046774394,140033.461976265,1132.27285988911,3
06/23/20,India,,,,,,,17777.2183894513,139112.601039517,143113.180571031,1043.40181529497,3
06/24/20,India,,,,,,,16733.8165741564,137120.54868563,146148.634740213,958.242867933339,3
06/25/20,India,,,,,,,15775.573706223,135088.80350232,149138.622791457,888.085737346854,3
06/26/20,India,,,,,,,14887.4879688762,133032.628832196,152082.883198928,825.476711512805,3
06/27/20,India,,,,,,,14062.0112573634,130959.584644547,154981.40409809,767.692473543733,3
06/28/20,India,,,,,,,13294.3187838196,128874.537357613,157834.143858567,714.4300845491,3
06/29/20,India,,,,,,,12579.8886992705,126782.018364556,160641.092936173,665.386605638374,3
06/30/20,India,,,,,,,11914.5020936321,124686.224033455,163402.273872913,620.259097921025,3
07/01/20,India,,,,,,,11294.2429957111,122591.01570731,166117.741296978,578.74462250652,3
07/02/20,India,,,,,,,10715.4983732046,120499.919704041,168787.581922754,540.540240504326,3
07/03/20,India,,,,,,,10174.9581327003,118416.127316487,171411.914550813,505.343013023909,3
07/04/20,India,,,,,,,9669.61511967637,116342.494812407,173990.890067917,472.850001174738,3
07/05/20,India,,,,,,,9196.76511850163,114281.54343448,176524.691447019,442.758266066283,2
07/06/20,India,,,,,,,8754.00685243535,112235.459400305,179013.53374726,414.764868808008,2
07/07/20,India,,,,,,,8339.24198362734,110206.0939024,181457.664113973,388.566870509383,2
07/08/20,India,,,,,,,7950.67511311796,108194.963108204,183857.361778678,363.861332279872,2
07/09/20,India,,,,,,,7586.81378083809,106203.248160076,186212.938059086,340.345315228953,2
07/10/20,India,,,,,,,7246.46846560913,104231.795175292,188524.736359099,317.715880466081,2
07/11/20,India,,,,,,,6928.75258514305,102281.115246051,190793.132168806,296.979194607608,2
07/12/20,India,,,,,,,6631.77339053544,100352.612442848,193018.614166617,279.164725199652,2
07/13/20,India,,,,,,,6352.60866533579,98448.5446031096,195201.846731555,262.507518124518,2
07/14/20,India,,,,,,,6090.10114721127,96569.455186941,197343.443665848,246.931598319288,2
07/15/20,India,,,,,,,5843.16954889198,94715.8154476935,199444.015003415,232.384212175495,2
07/16/20,India,,,,,,,5610.78533671649,92888.0465357873,201504.168127496,218.812606084667,2
07/17/20,India,,,,,,,5391.97273063182,91086.5194987121,203524.507770656,206.164026438339,2
07/18/20,India,,,,,,,5185.80870419348,89311.5552810264,205505.63601478,194.385719628037,2
07/19/20,India,,,,,,,4991.42298456545,87563.4247243577,207448.152291077,183.424932045295,2
07/20/20,India,,,,,,,4807.99805252015,85842.3485674029,209352.653380077,173.228910081646,2
07/21/20,India,,,,,,,4634.76914243851,84148.4974459277,211219.733411634,163.744900128619,2
07/22/20,India,,,,,,,4471.02424230989,82481.9918927668,213049.983864923,154.920148577743,2
07/23/20,India,,,,,,,4316.10409373214,80842.9023378242,214843.993568444,146.701901820554,2
07/24/20,India,,,,,,,4169.40219191159,79231.2491080729,216602.348700016,139.037406248578,2
07/25/20,India,,,,,,,4030.36478566301,77647.0024275548,218325.632786782,131.873908253351,2
07/26/20,India,,,,,,,3898.49087740966,76090.0824173811,220014.426705209,125.1586542264,1
07/27/20,India,,,,,,,3773.33222318326,74560.359095732,221669.308681085,118.838890559259,1
07/28/20,India,,,,,,,3654.493332624,73057.6523778565,223290.854289519,112.861863643459,1
07/29/20,India,,,,,,,3541.63146898054,71581.7320760731,224879.636454946,107.174819870528,1
07/30/20,India,,,,,,,3434.45664911001,70132.3178997691,226436.225451121,101.725005632,1
07/31/20,India,,,,,,,3332.73164347801,68709.0794554009,227961.188901121,96.6001172663005,1
08/01/20,India,,,,,,,3236.13152621171,67311.7414783102,229455.126995478,92.0789237287199,1
08/02/20,India,,,,,,,3144.05260248299,65940.2415642267,230918.70583329,87.7882373702673,1
08/03/20,India,,,,,,,3056.26436511273,64594.2522016329,232352.483433254,83.6942128478481,1
08/04/20,India,,,,,,,2972.57015226488,63273.4259638781,233757.003883857,79.7912028507203,1
08/05/20,India,,,,,,,2892.77894941416,61977.4162601776,235132.804790408,76.0735600681442,1
08/06/20,India,,,,,,,2816.70538934601,60705.8773356138,236480.41727504,72.535637189379,1
08/07/20,India,,,,,,,2744.16975215663,59458.4642711352,237800.365976708,69.1717869036829,1
08/08/20,India,,,,,,,2674.99796525295,58234.832983557,239093.16905119,65.9763619003165,1
08/09/20,India,,,,,,,2609.02160335263,57034.6402255611,240359.338171086,62.9437148685379,1
08/10/20,India,,,,,,,2546.0778884841,55857.5435856956,241599.37852582,60.0681984976068,1
08/11/20,India,,,,,,,2486.00968998649,54703.2014883755,242813.788821638,57.3441654767817,1
08/12/20,India,,,,,,,2428.66552450971,53571.2731938821,244003.061281608,54.7659684953233,1
08/13/20,India,,,,,,,2373.89955601439,52461.4187983633,245167.681645622,52.3279602424896,1
08/14/20,India,,,,,,,2321.5715957719,51373.2992338338,246308.129170394,50.0244934075399,1
08/15/20,India,,,,,,,2271.54710236436,50306.5762681744,247424.876629461,47.8499206797342,1
08/16/20,India,,,,,,,2223.69718168462,49260.9125051327,248518.390313183,45.7985947483303,1
08/17/20,India,,,,,,,2177.89858693629,48235.9713843228,249589.130028741,43.8648683025886,1
08/18/20,India,,,,,,,2134.0337186337,47231.4171812255,250637.549100141,42.0430940317688,1
08/19/20,India,,,,,,,2091.99062460193,46246.9150071878,251664.09436821,40.327624625128,1
08/20/20,India,,,,,,,2051.66299997681,45282.1308094236,252669.2061906,38.712812771927,1
08/21/20,India,,,,,,,2012.95018720488,44336.7313710131,253653.318441782,37.1930111614247,1
08/22/20,India,,,,,,,1975.75717604345,43410.3843109031,254616.858513053,35.7625724828806,1
08/23/20,India,,,,,,,1939.99460356057,42502.7580839071,255560.247312532,34.415849425553,1
08/24/20,India,,,,,,,1905.57875413502,41613.5219807049,256483.89926516,33.1471946787028,1
08/25/20,India,,,,,,,1872.43155945632,40742.346127843,257388.222312701,31.9509609315867,1
08/26/20,India,,,,,,,1840.48059852473,39888.9014877344,258273.617913741,30.8215008734658,1
08/27/20,India,,,,,,,1809.65909765127,39052.8598586587,259140.48104369,29.7531671935994,1
08/28/20,India,,,,,,,1779.90593045767,38233.8938747619,259989.20019478,28.7403125812455,1
08/29/20,India,,,,,,,1751.16561787642,37431.6770060568,260820.157376067,27.7771570916241,1
08/30/20,India,,,,,,,1723.3884607848,36645.8804728533,261633.731066362,26.848736184028,1
08/31/20,India,,,,,,,1696.53972460077,35876.049529899,262430.4107455,25.9444707828125,1
09/01/20,India,,,,,,,1670.59525381796,35121.8276307681,263210.577115414,25.0653445652968,1
09/02/20,India,,,,,,,1645.52990925266,34382.9428806949,263974.527210052,24.2110903679725,1
09/03/20,India,,,,,,,1621.31881888469,33659.1260309502,264722.555150165,23.3814410273301,1
09/04/20,India,,,,,,,1597.93737785736,32950.1104788415,265454.952143301,22.576129379861,1
09/05/20,India,,,,,,,1575.3612484775,32255.6322677129,266172.00648381,21.7948882620565,1
09/06/20,India,,,,,,,1553.56636021544,31575.4300869451,266874.003552839,21.0374505104073,1
09/07/20,India,,,,,,,1532.52890970503,30909.2452719555,267561.22581834,20.3035489614047,1
09/08/20,India,,,,,,,1512.22536074363,30256.8218041979,268233.952835058,19.5929164515399,1
09/09/20,India,,,,,,,1492.63244429209,29617.9063111631,268892.461244545,18.9052858173038,1
09/10/20,India,,,,,,,1473.72715847478,28992.2480663781,269537.024775147,18.2403898951875,1
09/11/20,India,,,,,,,1455.4867685796,28379.5989894068,270167.914242014,17.5979615216825,1
09/12/20,India,,,,,,,1437.88880705791,27779.7136458497,270785.397547092,16.9777335332792,1
09/13/20,India,,,,,,,1420.91107352463,27192.3492473437,271389.739679132,16.3794387664693,1
09/14/20,India,,,,,,,1404.53163475817,26617.2656515626,271981.202713679,15.8028100577433,1
09/15/20,India,,,,,,,1388.72882470042,26054.2253622167,272560.045813083,15.2475802435933,1
09/16/20,India,,,,,,,1373.48124445683,25502.9935290528,273126.52522649,14.7134821605093,1
09/17/20,India,,,,,,,1358.76776229632,24963.3379478545,273680.894289849,14.2002486449831,1
09/18/20,India,,,,,,,1344.56751365134,24435.029060442,274223.403425907,13.7076125335057,1
09/19/20,India,,,,,,,1330.85990111783,23917.8399546721,274754.30014421,13.2353066625676,1
09/20/20,India,,,,,,,1317.62459445526,23411.5463644381,275273.829041107,12.783063868661,1
09/21/20,India,,,,,,,1304.8415305866,22915.92666967,275782.231799743,12.3506169882755,1
09/22/20,India,,,,,,,1292.49091359833,22430.7618963345,276279.747190067,11.937698857904,1
09/23/20,India,,,,,,,1280.55321474042,21955.8357164349,276766.611068825,11.544042314036,1
09/24/20,India,,,,,,,1269.00917242639,21490.934448011,277243.056379563,11.1693801931638,1
