data,Infected data,Recovered data,Death data,Susceptible,Infected,Recovered
08/23/20,,,,1939.99460356057,42502.7580839071,255560.247312532
08/24/20,,,,1905.57875413502,41613.5219807049,256483.89926516
08/25/20,,,,1872.43155945632,40742.346127843,257388.222312701
08/26/20,,,,1840.48059852473,39888.9014877344,258273.617913741
08/27/20,,,,1809.65909765127,39052.8598586587,259140.48104369
08/28/20,,,,1779.90593045767,38233.8938747619,259989.20019478
08/29/20,,,,1751.16561787642,37431.6770060568,260820.157376067
08/30/20,,,,1723.3884607848,36645.8804728533,261633.731066362
08/31/20,,,,1696.53972460077,35876.049529899,262430.4107455
09/01/20,,,,1670.59525381796,35121.8276307681,263210.577115414
09/02/20,,,,1645.52990925266,34382.9428806949,263974.527210052
09/03/20,,,,1621.31881888469,33659.1260309502,264722.555150165
09/04/20,,,,1597.93737785736,32950.1104788415,265454.952143301
09/05/20,,,,1575.3612484775,32255.6322677129,266172.00648381
09/06/20,,,,1553.56636021544,31575.4300869451,266874.003552839
09/07/20,,,,1532.52890970503,30909.2452719555,267561.22581834
09/08/20,,,,1512.22536074363,30256.8218041979,268233.952835058
09/09/20,,,,1492.63244429209,29617.9063111631,268892.461244545
09/10/20,,,,1473.72715847478,28992.2480663781,269537.024775147
09/11/20,,,,1455.4867685796,28379.5989894068,270167.914242014
09/12/20,,,,1437.88880705791,27779.7136458497,270785.397547092
09/13/20,,,,1420.91107352463,27192.3492473437,271389.739679132
09/14/20,,,,1404.53163475817,26617.2656515626,271981.202713679
09/15/20,,,,1388.72882470042,26054.2253622167,272560.045813083
09/16/20,,,,1373.48124445683,25502.9935290528,273126.52522649
09/17/20,,,,1358.76776229632,24963.3379478545,273680.894289849
09/18/20,,,,1344.56751365134,24435.029060442,274223.403425907
09/19/20,,,,1330.85990111783,23917.8399546721,274754.30014421
09/20/20,,,,1317.62459445526,23411.5463644381,275273.829041107
09/21/20,,,,1304.8415305866,22915.92666967,275782.231799743
09/22/20,,,,1292.49091359833,22430.7618963345,276279.747190067
09/23/20,,,,1280.55321474042,21955.8357164349,276766.611068825
09/24/20,,,,1269.00917242639,21490.934448011,277243.056379563
09/25/20,,,,1257.83979223322,21035.8470551392,277709.313152628
09/26/20,,,,1247.02634690144,20590.3651479328,278165.608505166
09/27/20,,,,1236.55037633508,20154.2829825415,278612.166641123
09/28/20,,,,1226.39368760165,19727.3974611515,279049.208851247
09/29/20,,,,1216.5383549322,19309.508131986,279476.953513082
09/30/20,,,,1206.96671972128,18900.4171893044,279895.616090974
10/01/20,,,,1197.66139052695,18499.929473403,280305.40913607
10/02/20,,,,1188.60524307077,18107.8524706147,280706.542286315
10/03/20,,,,1179.78142023783,17723.9963133088,281099.222266453
10/04/20,,,,1171.1733320767,17348.1737798915,281483.652888032
10/05/20,,,,1162.76465579948,16980.2002948054,281860.035049395
10/06/20,,,,1154.53933578177,16619.8939285299,282228.566735688
10/07/20,,,,1146.48158356268,16267.0753975808,282589.443018857
